         22091755 function calls (22085182 primitive calls) in 2610.721 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30 2590.339   86.345 2609.436   86.981 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\SCACOPF.py:245(run_jl)
      180    0.007    0.000    0.007    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\model_preparation.py:640(pwcost_rule)
    12600    0.007    0.000    0.008    0.000 C:\ANACONDA3\lib\zipfile.py:461(_decodeExtra)
    38759    0.007    0.000    0.007    0.000 {method 'pop' of 'list' objects}
      374    0.007    0.000    0.033    0.000 {built-in method builtins.print}
     6960    0.007    0.000    0.116    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablerowcontroller.py:26(update)
     2880    0.007    0.000    0.048    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:22(add)
    11394    0.007    0.000    0.013    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:354(lower)
     1200    0.006    0.000    0.006    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablerowcontroller.py:58(<listcomp>)
     8202    0.006    0.000    0.050    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\block.py:1351(_component_data_iter)
     2400    0.006    0.000    0.011    0.000 C:\ANACONDA3\lib\zipfile.py:1049(close)
    15870    0.006    0.000    0.009    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\compatibility.py:21(is_string)
    19529    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
     8305    0.006    0.000    0.034    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\indexed_component.py:495(<genexpr>)
      187    0.006    0.000    0.013    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\expr\visitor.py:529(dfs_postorder_stack)
    23988    0.005    0.000    0.005    0.000 {method 'join' of 'str' objects}
       90    0.005    0.000    0.007    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\model_preparation.py:491(braSCapN_rule)
     2400    0.005    0.000    0.023    0.000 C:\ANACONDA3\lib\zipfile.py:1033(_read2)
    34096    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
     1920    0.005    0.000    0.005    0.000 {built-in method zlib.decompressobj}
       30    0.005    0.000    0.005    0.000 {built-in method nt.chdir}
      275    0.005    0.000    0.006    0.000 C:\ANACONDA3\lib\site-packages\pyomo\common\timing.py:61(report)
     2400    0.005    0.000    0.005    0.000 {built-in method now}
    14670    0.005    0.000    0.005    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablerowcontroller.py:54(row)
     4544    0.004    0.000    0.006    0.000 C:\ANACONDA3\lib\site-packages\pyomo\opt\results\container.py:367(_convert)
      480    0.004    0.000    0.005    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:23(create_new_file_entry)
     2400    0.004    0.000    0.300    0.000 C:\ANACONDA3\lib\zipfile.py:917(read)
